type,input_type,time_ms,key
keyup,other,224072.623,u
keydown,other,224074.170,r
keyup,other,224178.452,r
keydown,other,224314.002,n
keyup,other,224381.989,n
keydown,other,224856.394,Key.enter
keyup,other,224921.833,Key.enter
keydown,other,225907.514,Key.alt
keyup,other,226043.130,Key.backspace
keydown,other,226790.924,Key.cmd
keyup,other,226889.789,z
keydown,other,227339.460,Key.alt
keyup,other,227512.949,Key.alt
keydown,other,227623.394,Key.cmd
keyup,other,227724.757,Key.left
keydown,other,227856.934,Key.alt
keyup,other,228012.663,Key.right
keydown,other,228399.296,Key.backspace
keyup,other,228489.834,Key.backspace
keydown,space,228659.472,Key.space
keyup,space,228723.559,Key.space
keydown,other,228744.480,Key.shift
keyup,other,228908.227,@
keydown,other,229010.585,m
keyup,other,229064.408,m
keydown,other,229095.697,e
keyup,other,229191.574,e
keydown,other,229283.402,s
keyup,other,229391.716,s
keydown,other,229523.384,r
keyup,other,229608.067,r
keydown,other,230285.765,Key.enter
keyup,other,230365.697,Key.enter
keydown,other,233260.943,Key.backspace
keyup,other,233341.216,Key.backspace
keydown,other,233483.959,,
keydown,space,233543.701,Key.space
keyup,other,233547.741,,
keydown,other,233590.630,w
keyup,space,233592.507,Key.space
keyup,other,233691.981,w
keydown,other,233699.906,h
keyup,other,233759.779,h
keydown,other,233842.845,i
keyup,other,233894.800,i
keydown,other,233974.921,h
keyup,other,234024.372,c
keydown,space,234030.864,Key.space
keyup,space,234123.144,Key.space
keydown,other,234705.915,g
keyup,other,234775.530,g
keydown,other,234791.554,t
keyup,other,234799.541,e
keydown,other,234895.454,s
keyup,other,234907.474,t
keydown,space,234972.396,Key.space
keyup,space,235039.543,Key.space
keydown,other,235116.673,a
keyup,other,235184.507,a
keydown,space,235207.779,Key.space
keyup,space,235239.604,Key.space
keydown,other,235572.590,b
keyup,other,235627.997,b
keydown,other,235664.037,s
keyup,other,235696.019,a
keydown,other,235779.328,i
keyup,other,235835.289,i
keydown,other,235851.677,c
keydown,space,235951.898,Key.space
keyup,other,235959.698,c
keyup,space,236028.176,Key.space
keydown,other,236109.394,a
keyup,other,236202.622,a
keydown,other,236278.351,t
keyup,other,236382.625,t
keydown,other,236475.767,m
keyup,other,236547.614,m
keydown,other,236575.705,t
keyup,other,236583.619,a
keydown,other,236834.415,e
keyup,other,236946.343,e
keydown,space,236978.388,Key.space
keyup,space,237058.348,Key.space
keydown,other,237189.581,s
keyup,other,237347.535,s
keydown,other,237363.489,t
keyup,other,237427.304,e
keydown,space,237456.346,Key.space
keyup,space,237543.524,Key.space
keydown,other,237775.284,o
keyup,other,237831.319,o
keydown,space,237905.905,Key.space
